,id,title,release_date,vote_average,vote_count,year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,imdb_score
1978,10693,Peter Pan,1953-02-05,7.0,1380.0,1953.0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,6.938782294832826
1987,10882,Sleeping Beauty,1959-01-28,6.8,1332.0,1959.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,6.791763490330631
2006,87,Indiana Jones and the Temple of Doom,1984-05-23,7.1,2841.0,1984.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.050586864497371
2052,34584,The NeverEnding Story,1984-04-05,7.0,1031.0,1984.0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6.924827377064477
2058,36647,Blade,1998-08-21,6.5,1950.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.555065597667639
2065,4011,Beetlejuice,1988-02-29,7.1,1475.0,1988.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.016410488245931
2085,117,The Untouchables,1987-06-02,7.6,1424.0,1987.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,7.384257128007128
2121,431,Cube,1997-09-09,6.9,1101.0,1997.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,6.85934460604979
2160,2109,Rush Hour,1998-09-18,6.8,1254.0,1998.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.791397214530054
2175,1091,The Thing,1982-06-25,7.8,1629.0,1982.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,7.558060457625981
2178,162,Edward Scissorhands,1990-12-05,7.5,3731.0,1990.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,7.413710875510687
2181,8916,Antz,1998-10-02,6.0,1320.0,1998.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.211489403453689
2211,637,Life Is Beautiful,1997-12-20,8.3,3643.0,1997.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.115329643805387
2216,73,American History X,1998-10-30,8.2,3120.0,1998.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.002461523283346
2227,297,Meet Joe Black,1998-11-12,6.9,1174.0,1998.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,6.861117511520738
2240,9798,Enemy of the State,1998-11-20,6.7,1266.0,1998.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.719768241384889
2242,9487,A Bug's Life,1998-11-25,6.8,2379.0,1998.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.794758844836997
2290,1368,First Blood,1982-10-22,7.2,1523.0,1982.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7.093678059459078
2342,9426,The Fly,1986-08-15,7.1,1038.0,1986.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6.9926597622143785
2389,1542,Office Space,1999-02-19,7.4,1068.0,1999.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.199050200437318
2429,100,"Lock, Stock and Two Smoking Barrels",1998-03-05,7.5,1671.0,1998.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.331833585576101
2458,603,The Matrix,1999-03-30,7.9,9079.0,1999.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.841007486615067
2459,4951,10 Things I Hate About You,1999-03-30,7.3,1768.0,1999.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.183117598891409
2503,564,The Mummy,1999-04-16,6.6,2796.0,1999.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.625761745839112
2514,1893,Star Wars: Episode I - The Phantom Menace,1999-05-19,6.4,4526.0,1999.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.436790830538344
2526,1924,Superman,1978-12-13,6.9,1042.0,1978.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.857789049471929
2556,509,Notting Hill,1999-05-13,7.0,1309.0,1999.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6.936379609887073
2568,817,Austin Powers: The Spy Who Shagged Me,1999-06-08,6.1,1034.0,1999.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.3183251070962925
2572,37135,Tarzan,1999-06-18,7.1,1715.0,1999.0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.025467591099646
2586,8487,Wild Wild West,1999-06-29,5.1,1042.0,1999.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5.641446637020568
2591,2105,American Pie,1999-07-09,6.4,2358.0,1999.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.4646993401979405
2595,2667,The Blair Witch Project,1999-07-14,6.3,1090.0,1999.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6.447742587601079
2597,345,Eyes Wide Shut,1999-07-14,7.1,1266.0,1999.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7.006517958259181
2601,620,Ghostbusters,1984-06-07,7.3,2431.0,1984.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.209556709070527
2602,2978,Ghostbusters II,1989-06-15,6.3,1131.0,1989.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.444028641499519
2646,10386,The Iron Giant,1999-08-06,7.6,1470.0,1999.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,7.389294778825235
2647,745,The Sixth Sense,1999-08-06,7.7,3223.0,1999.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,7.575076743025978
2676,813,Airplane!,1980-07-02,7.1,1104.0,1980.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.997076505165658
2682,2280,Big,1988-06-03,6.9,1022.0,1988.0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,6.857234372066829
2742,14,American Beauty,1999-09-15,7.9,3438.0,1999.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.756503482550968
2800,861,Total Recall,1990-06-01,7.1,1745.0,1990.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.026463569837734
2802,9377,Ferris Bueller's Day Off,1986-06-11,7.5,1340.0,1986.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.301581909937889
2831,658,Goldfinger,1964-09-17,7.2,1005.0,1964.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.057083531086854
2837,772,Home Alone 2: Lost in New York,1992-11-19,6.3,2459.0,1992.0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.3793885482547195
2843,550,Fight Club,1999-10-15,8.3,9678.0,1999.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.224829113213374
2869,5548,RoboCop,1987-07-17,7.1,1494.0,1987.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7.017206978077089
2871,856,Who Framed Roger Rabbit,1988-06-21,7.2,1466.0,1988.0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.090595480308096
2881,492,Being John Malkovich,1999-09-30,7.3,1124.0,1999.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.136767681210415
2884,128,Princess Mononoke,1997-07-12,8.2,2041.0,1997.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.918579580592567
2917,11886,Robin Hood,1973-11-08,7.0,1155.0,1973.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.930459646094087
2964,2668,Sleepy Hollow,1999-11-18,6.9,1774.0,1999.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,6.871376743309462
2997,863,Toy Story 2,1999-10-30,7.3,3914.0,1999.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.239943523852675
3030,497,The Green Mile,1999-12-10,8.2,4166.0,1999.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8.046744688016656
3167,1907,The Beach,2000-02-11,6.3,1271.0,2000.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,6.432642978139873
3182,2787,Pitch Black,2000-02-18,6.7,1812.0,2000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.715099789915968
3290,9532,Final Destination,2000-03-16,6.4,1416.0,2000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.496508723531167
3351,840,Close Encounters of the Third Kind,1977-11-16,7.2,1122.0,1977.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.067392548881452
3368,879,Hook,1991-12-11,6.7,1563.0,1991.0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.716922304549547
3378,1700,Misery,1990-11-28,7.6,1085.0,1990.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.338114015322217
3406,106,Predator,1987-06-11,7.3,2129.0,1987.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7.1991672553388035
3413,1359,American Psycho,2000-04-13,7.3,2128.0,2000.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.199128886714503
3456,98,Gladiator,2000-05-01,7.9,5566.0,2000.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.806843177429231
3501,955,Mission: Impossible II,2000-05-24,5.9,1966.0,2000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.0763628200672
3580,9659,Mad Max,1979-04-12,6.6,1235.0,1979.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.648939892960066
3595,9679,Gone in Sixty Seconds,2000-06-09,6.1,1511.0,2000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.266539390495134
3629,7443,Chicken Run,2000-06-21,6.5,1190.0,2000.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.579828825021133
3631,2024,The Patriot,2000-06-28,6.8,1130.0,2000.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,6.790742769500438
3663,4247,Scary Movie,2000-07-07,6.0,1468.0,2000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.195584712543554
3671,36657,X-Men,2000-07-13,6.8,4172.0,2000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.7967702727495105
3744,37136,The Naked Gun: From the Files of Police Squad!,1988-12-02,7.1,1020.0,1988.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.991388627819549
3823,1597,Meet the Parents,2000-10-06,6.6,1743.0,2000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.637855869052927
3824,641,Requiem for a Dream,2000-10-27,7.9,2525.0,2000.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.713193624557261
3852,4327,Charlie's Angels,2000-11-02,5.6,1253.0,2000.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.933662700676392
3863,8871,How the Grinch Stole Christmas,2000-11-17,6.2,1440.0,2000.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.346861192930781
3869,9741,Unbreakable,2000-11-13,6.9,1994.0,2000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,6.873901649673503
3886,107,Snatch,2000-09-01,7.7,2953.0,2000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.565308634313848
3891,11688,The Emperor's New Groove,2000-12-09,7.2,1544.0,2000.0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.094770408163265
3893,3981,What Women Want,2000-12-15,6.1,1021.0,2000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.320191133652672
3897,8358,Cast Away,2000-12-22,7.5,3304.0,2000.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.404024898602975
3902,134,"O Brother, Where Art Thou?",2000-08-30,7.3,1144.0,2000.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.138753475842892
4022,9740,Hannibal,2001-02-08,6.4,1296.0,2001.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,6.502956967865098
4096,853,Enemy at the Gates,2001-03-13,7.2,1023.0,2001.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.058772629209267
4099,77,Memento,2000-10-11,8.1,4168.0,2000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7.957521575468234
4112,4133,Blow,2001-04-04,7.4,1352.0,2001.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.229865396482567
4119,634,Bridget Jones's Diary,2001-04-13,6.6,1397.0,2001.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6.6447605241358545
4135,111,Scarface,1983-12-08,8.0,3017.0,1983.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.825109671392014
4142,1734,The Mummy Returns,2001-04-28,6.0,2258.0,2001.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.139561535274009
4178,808,Shrek,2001-05-16,7.3,4183.0,2001.0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.243393276593149
4180,824,Moulin Rouge!,2001-03-09,7.4,1348.0,2001.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,7.229497139764997
4182,676,Pearl Harbor,2001-05-21,6.6,1833.0,2001.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,6.636395505480374
4238,10865,Atlantis: The Lost Empire,2001-06-02,6.7,1257.0,2001.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6.719869501585495
4239,1995,Lara Croft: Tomb Raider,2001-06-11,5.7,2235.0,2001.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5.895579785844868
4241,9799,The Fast and the Furious,2001-06-22,6.6,3485.0,2001.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.621307582003943
4242,644,A.I. Artificial Intelligence,2001-06-29,6.8,2011.0,2001.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6.793990726517608
4260,4248,Scary Movie 2,2001-07-04,5.4,1019.0,2001.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.850895796106462
4509,331,Jurassic Park III,2001-07-18,5.7,2109.0,2001.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5.905025187537645
4514,869,Planet of the Apes,2001-07-25,5.6,1270.0,2001.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5.930458030669895
4571,9880,The Princess Diaries,2001-08-03,6.5,1063.0,2001.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6.586315236267252
4572,5175,Rush Hour 2,2001-08-03,6.4,1078.0,2001.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.517180427304002
4589,2770,American Pie 2,2001-08-10,6.0,1375.0,2001.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.205285714285714
4591,1933,The Others,2001-08-02,7.4,1708.0,2001.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,7.25729651915114
4646,2034,Training Day,2001-10-05,7.3,1665.0,2001.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.17755691191026
4686,9398,Zoolander,2001-09-28,6.1,1363.0,2001.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.279769572885515
4718,1018,Mulholland Drive,2001-05-16,7.7,1517.0,2001.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,7.469415326864509
4748,141,Donnie Darko,2001-01-18,7.7,3574.0,2001.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,7.585839645136405
4756,585,"Monsters, Inc.",2001-11-01,7.5,6150.0,2001.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.445099355531687
4766,671,Harry Potter and the Philosopher's Stone,2001-11-16,7.5,7188.0,2001.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.452511799464842
4833,161,Ocean's Eleven,2001-12-07,7.2,3857.0,2001.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.150633627332043
4843,194,Amélie,2001-04-25,7.8,3403.0,2001.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.668027341605358
4845,1903,Vanilla Sky,2001-12-10,6.5,1100.0,2001.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,6.584319196428572
4849,9428,The Royal Tenenbaums,2001-10-05,7.4,1317.0,2001.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.226588175171004
4863,120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,8.0,8892.0,2001.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.934509232781698
4865,453,A Beautiful Mind,2001-12-11,7.7,3087.0,2001.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.570340316221276
4880,855,Black Hawk Down,2001-12-28,7.2,1832.0,2001.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7.107766172506739
4936,10229,A Walk to Remember,2002-01-25,7.5,1057.0,2002.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.265517478667769
5084,425,Ice Age,2002-03-10,7.1,3954.0,2002.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0629346013214445
5085,1576,Resident Evil,2002-03-15,6.4,2100.0,2002.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6.4711195054945065
5120,36586,Blade II,2002-03-22,6.3,1556.0,2002.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6.414256183991107
5132,4547,Panic Room,2002-03-29,6.6,1303.0,2002.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.647094128832897
5215,557,Spider-Man,2002-05-01,6.8,5398.0,2002.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.797441626701545
5244,1894,Star Wars: Episode II - Attack of the Clones,2002-05-15,6.4,4074.0,2002.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.4404264788556445
5254,320,Insomnia,2002-05-24,6.8,1181.0,2002.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6.7910236253930485
5284,2501,The Bourne Identity,2002-06-14,7.3,3640.0,2002.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,7.235968771566598
5310,11544,Lilo & Stitch,2002-06-21,7.1,1371.0,2002.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.011764144460563
5311,180,Minority Report,2002-06-20,7.1,2663.0,2002.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,7.047806106318594
5325,608,Men in Black II,2002-07-03,6.1,3188.0,2002.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.190810931205453
5330,4147,Road to Perdition,2002-07-12,7.3,1102.0,2002.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.134526038879972
5368,2675,Signs,2002-08-02,6.4,1624.0,2002.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,6.487057775087437
5373,7451,xXx,2002-08-09,5.8,1454.0,2002.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.048163108641614
5439,4108,The Transporter,2002-10-02,6.6,1724.0,2002.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.638179278006167
5481,129,Spirited Away,2001-07-20,8.3,3968.0,2001.0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8.128762469625272
5493,9533,Red Dragon,2002-09-29,6.7,1142.0,2002.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6.72126109274404
5542,565,The Ring,2002-10-18,6.5,1720.0,2002.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6.560770592020592
5672,65,8 Mile,2002-11-08,6.8,1676.0,2002.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.793065585609243
5678,672,Harry Potter and the Chamber of Secrets,2002-11-13,7.4,5966.0,2002.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.351269828995626
5734,36669,Die Another Day,2002-11-17,5.8,1112.0,2002.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.1008130981921305
5765,7299,Equilibrium,2002-12-06,6.9,1584.0,2002.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.868767137373184
5814,121,The Lord of the Rings: The Two Towers,2002-12-18,8.0,7641.0,2002.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.92444548756734
5818,3131,Gangs of New York,2002-12-14,7.1,1964.0,2002.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.03299947820037
5833,8392,My Neighbor Totoro,1988-04-16,8.0,1730.0,1988.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.724175208199872
5851,640,Catch Me If You Can,2002-12-25,7.7,3917.0,2002.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.594704712312818
5857,423,The Pianist,2002-09-24,8.1,1927.0,2002.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7.825962387427159
5878,598,City of God,2002-02-05,8.2,1852.0,2002.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.895965439747327
5920,9358,Final Destination 2,2003-01-31,5.9,1046.0,2003.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6.1813135279985225
6019,9480,Daredevil,2003-02-14,5.0,1551.0,2003.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,5.431453298042767
6143,1817,Phone Booth,2002-09-09,6.7,1087.0,2002.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.721997929606625
6185,2832,Identity,2003-04-25,7.1,1090.0,2003.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6.996170260557053
6195,36658,X2,2003-04-24,6.8,3572.0,2003.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.796294379736177
6221,604,The Matrix Reloaded,2003-05-15,6.7,3500.0,2003.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.708727678571428
6228,310,Bruce Almighty,2003-05-23,6.4,3121.0,2003.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.45106620112834
6232,12,Finding Nemo,2003-05-30,7.6,6292.0,2003.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.538885558640417
6233,9654,The Italian Job,2003-05-30,6.6,1949.0,2003.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.634671586070116
6238,584,2 Fast 2 Furious,2003-06-05,6.2,2087.0,2003.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.310131702468386
6353,170,28 Days Later,2002-10-31,7.1,1816.0,2002.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,7.028717924993831
6385,1927,Hulk,2003-06-19,5.3,1571.0,2003.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.654857901634821
6388,296,Terminator 3: Rise of the Machines,2003-07-02,5.9,2177.0,2003.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.06246197769358
6390,22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,7.5,7191.0,2003.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.452530323012055
6392,8698,The League of Extraordinary Gentlemen,2003-07-11,5.7,1181.0,2003.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,6.018209824084304
6399,8961,Bad Boys II,2003-07-18,6.3,1588.0,2003.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.41250513136289
6415,1996,Lara Croft Tomb Raider: The Cradle of Life,2003-07-21,5.5,1443.0,2003.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5.8267682523343876
6437,8273,American Wedding,2003-08-01,6.0,1158.0,2003.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.232153627434085
6562,153,Lost in Translation,2003-08-31,7.3,1943.0,2003.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1914902637272675
6605,277,Underworld,2003-09-19,6.6,2556.0,2003.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.6277849195961105
6714,1584,School of Rock,2003-10-03,6.8,1454.0,2003.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.792277745284398
6721,322,Mystic River,2003-10-07,7.6,1473.0,2003.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,7.389615161827529
6725,24,Kill Bill: Vol. 1,2003-10-10,7.7,5091.0,2003.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.616814651097427
